"","County","FacilityName","Total_2018","Total_2019","perc_UNL_2018","perc_UNL_2019","perc_reclass"
"1","Madison","Illinois American - Alton (PWS)",25319,22388,0,92,169
"2","Whiteside","Illinois American - Sterling (PWS)",6507,7314,17,100,115
"3","Lake","Zion (PWS)",7073,7089,0,100,100
"4","Cook","Riverdale (PWS)",3311,3311,0,77,100
"5","Alexander","Illinois American - Cairo (PWS)",1227,2635,0,100,225
"6","Sangamon","Riverton (PWS)",1860,1860,0,100,100
"7","Williamson","Coal Valley PWD (PWS)",1500,1547,0,97,102
"8","Saline","Mitchellsville PWD (PWS)",766,764,0,74,100
"9","Kane","Willow Lake Estates MHP (PWS)",630,630,0,100,100
"10","Tazewell","Illinois American - Washington Estates (PWS)",484,484,0,98,100
"11","Tazewell","Oak Lawn Estates",470,470,0,100,100
"12","Woodford","Goodfield (PWS)",413,417,0,76,100
"13","Tazewell","Deer Creek (PWS)",307,307,0,87,100
"14","McLean","Meadows Of Bloomington MHP (PWS)",241,241,0,100,100
"15","Rock Island","High Cliff Estates (PWS)",224,224,0,100,100
"16","Rock Island","Mississippi Manufactured Home Community (PWS)",220,220,0,100,100
"17","Cook","Oak Lane Mobile Home Park (PWS)",217,217,0,100,100
"18","Franklin","Plumfield Water District (PWS)",200,202,0,85,100
"19","Champaign","Ilur Woods Edge MHP LLC (PWS)",179,179,0,100,100
"20","Ford","Sibley (PWS)",170,170,0,94,100
"21","Stephenson","Winslow (PWS)",149,150,25,97,292
"22","LaSalle","Country Acres MHP (PWS)",100,150,0,100,150
"23","Grundy","Burt Estates MHC (PWS)",150,150,0,100,100
"24","Will","Imperial MHC (PWS)",100,100,0,100,100
"25","Stephenson","Stephenson Mobile Estates (PWS)",90,90,0,100,100
"26","Lee","West Brooklyn (PWS)",72,72,0,100,100
"27","Winnebago","Bradley Heights Subdivision (PWS)",52,52,0,100,100
"28","Henry","Lynn Water Association, Inc (PWS)",42,42,0,76,100
"29","Rock Island","Eberts 3rd Addition (PWS)",33,33,0,100,100
"30","Champaign","Ilur Portfolio 5 - Wilson MHP (PWS)",32,32,0,100,100
"31","Kankakee","Skyview Subdivision (PWS)",28,28,0,100,100
"32","Cook","Northwest Suburban Municipal Jawa (PWS)",21,21,0,100,100
"33","Kane","Highland Subdivision (PWS)",20,20,0,100,182
"34","Rock Island","Chigakwa Park Estates (PWS)",18,18,0,100,100
"35","Tazewell","Hollands Grove Court Subdivision (PWS)",17,17,0,100,100
